,Date,News
0,2021-02-16,SEC conducts workshop for CFOs of potential listed companies
1,2021-02-13,I ask you to be confident; ongoing negotiations will produce results soon: CBSL Governor
2,2021-02-11,SEC and CSE meet with Stockbrokers to discuss current status of stock market
3,2021-02-08,Driving growth-bridging deficits – outlook 2021 report of Ceylon Chamber
4,2021-02-08,"Sri Lanka on positive and steady path for economic recovery, says Cabraal"
5,2021-02-02,Stock market halted after S&P SL20 drops over 7.7-pct
6,2021-02-02,Sri Lanka’s foreign currency reserves fall below foreign debt obligations
7,2021-01-26,Global equity interest in emerging markets expected to trickle down to CSE:  Ceylon Asset Management
8,2021-01-26,CSE issues new guideline for Stockbroker Firms to implement with immediate effect
9,2021-01-26,SEC advises investors not to rely on unsolicited stock tips circulated through social media
10,2021-01-21,ASPI crosses 8000 points mark; Hayleys announces subdivision of shares
11,2021-01-19,Gross official reserves estimated at USD 5.7bn at end 2020
12,2021-01-18,Eran warns “Be careful of pump and dump in stock market”
13,2021-01-17,SEC welcomes market performance; low bank interest rates attract local investors to CSE
14,2021-01-07,Asia Securities forecasts strong growth trajectory for equities in 2021
15,2021-01-05,Restrictions on outward remittances on capital transactions extended by 6 months
16,2021-01-04,CBSL to establish permanent single-digit interest rate structure in economy
17,2021-01-01,ASPI recorded a growth of 10.5-pct in 2020; market turnover highest since 2011
18,2020-12-24,Banks suspended from purchasing ISBs of Sri Lanka for three months
19,2020-12-24,Central Bank expects rupee to appreciate within next few days
20,2020-12-08,Renuka Holding PLC to raise Rs.1Bn via rights issue on CSE digital platform
21,2020-12-01,Private sector an equal partner in economic revival: Dr. Hans Wijayasuriya
22,2020-11-30,Sustainable blue-economy is future of Bay of Bengal region
23,2020-11-26,Asia Securities wealth management launches new money market fund
24,2020-11-24,Sovereign bond opportunity is “too good to miss” says new Chair of Ceylon Asset Management
25,2020-11-18,SEC Chairman welcomes the budget proposals
26,2020-11-14,Quarterly earnings skid but transportation & materials sectors outperformed: FCR
27,2020-11-13,Sri Lanka’s exports declined to USD 832Mn in October amidst second wave of COVID
28,2020-11-09,ICRA: Economy at a glance for 3Q 2020
29,2020-10-07,Cabinet approves new orders for ‘Special Deposit Accounts’
30,2020-10-02,Economists urge decisive action to prevent emerging Sri Lankan debt crisis
31,2020-09-30,Advocata to live stream  session on “How can we improve Sri Lanka’s debt sustainability” today
32,2020-09-30,63-pct increase in CDS Account openings since Digitalization
33,2020-09-21,"SEC, CSE sign MOU with DRP to obtain digital verification of NIC details"
34,2020-09-17,Colombo Stock Exchange marks the digitalization of Sri Lankan stock market
35,2020-08-21,Colombo Stock Brokers Association commends appointment of a special minister
36,2020-08-19,Probability for a rate cut to discourage LCBs from using SDFR facility: First Capital Research
37,2020-08-17,Strengthen your brand digitally  – with Progressive Web Apps (PWAs).
38,2020-08-07,Sri Lanka gross official reserves rebound to USD 7.1bn in July
39,2020-08-01,SEC introduces a Framework for Real Estate Investment Trusts (REITs)
40,2020-07-17,"Cloud computing for the future: current trends, what to expect and more."
41,2020-07-16,Sri Lanka restricts outward remittances on capital transactions for six months
42,2020-07-09,Sri Lanka gross official reserves at USD 6.7Bn by end June
43,2020-07-09,Central Bank cuts SDFR & SLFR by 100 bps to induce further reduction in lending rates
44,2020-07-05,H20 ONE Appoints Chaminda Lakmal as Chief Executive Officer
45,2020-07-01,SEC approves new admission requirements to attract SMEs & Startups
46,2020-06-30,Fallout from Pandemic prompts an unprecedented rate cut: FCR
47,2020-06-29,SEC continues engaging with capital market stakeholders
48,2020-06-22,"Trade deficit widens in April; import expenses on personal vehicles up, no tourism earnings"
49,2020-06-19,100bps rate cut on the cards to push banks for lending: First Capital Research
50,2020-06-16,Sri Lanka’s Central Bank further reduces Statutory Reserve Ratio
51,2020-06-16,LSE Group backs initial COVID-19 donation with additional funding
52,2020-06-16,Coronavirus compounds Sri Lankan Banks’ stresses: Fitch Ratings
53,2020-06-14,SEC Chairman calls on Central Bank Governor
54,2020-06-02,SEC approves rules for digitalization of Colombo Stock Market
55,2020-05-20,Ceylon Chamber proposes multi-sectoral approach for economic revival
56,2020-05-19,Sri Lanka explores SWAP facilities with regional Central Banks
57,2020-05-18,Sri Lanka official reserves at USD 7.9Bn at end Feb 2020
58,2020-05-14,Joint committee of SEC & CSE appointed to broadbase capital market awareness
59,2020-05-11,CSE trading closes after S&P SL 20 drops over 10-pct
60,2020-05-10,Colombo Stock Exchange to recommence trading tomorrow
61,2020-05-07,Sri Lanka gross official reserves down to USD7.2 bn by end-April
62,2020-04-30,SEC grants relief measures; extends due date for submission of audit reports
63,2020-04-30,SEC introduces 3-Tiered Circuit Breaker attached to S&P SL20
64,2020-04-27,Central Bank imposes maximum interest rates on pawning advances of banks
65,2020-04-09,Sri Lanka official reserves down to USD7.5bn by end-March
66,2020-04-09,PwC expects real GDP growth in Sri Lanka to be less than 2-pct this year
67,2020-04-03,Central Bank further reduces policy interest rates by 25 basis points
68,2020-04-03,"First Capital Research cuts ASPI target to 5,000 for June 2020"
69,2020-04-02,Sri Lanka suspends all restrictions on foreign currency inflows
70,2020-03-31,Central Bank facilitates finance & leasing companies to support businesses
71,2020-03-31,CSE to remain closed for trading from tomorrow until curfew is lifted
72,2020-03-24,Sri Lanka announces relief measures as country battles with COVID19
73,2020-03-21,We are in global recession territory: Fitch Ratings
74,2020-03-20,CSE trading closed as both indices drop over 5-pct
75,2020-03-19,Central Bank introduces urgent measures to ease pressure on exchange rate
76,2020-03-19,China grants USD500mn concessionary loan to Sri Lanka
77,2020-03-17,CBSL requests financial institutions to refrain from engaging in speculative activity
78,2020-03-16,Sri Lanka Central Bank eases monetary policy further to support economic activity
79,2020-03-12,CSE trading halted temporarily as S & P drops below 5-pct
80,2020-03-12,SEC to take measures to support stock market
81,2020-03-12,CSE recovers ASPI and S&P making gains during trading
82,2020-03-11,Sri Lanka stocks close down
83,2020-03-10,CSE trading halted temporarily: Trading to re-commence by 10.12 am
84,2020-03-10,COVID-19 Outbreak to have significant economic impact on developing Asia: ADB
85,2020-03-05,COVID-19 outbreak likely to affect Sri Lanka’s economic performance : Central Bank
86,2020-03-05,Policy interest rates of Central Bank of Sri Lanka to remain unchanged
87,2020-03-02,Securities and Exchange Commission DG removed  with immediate effect
88,2020-02-24,Central Bank to introduce cost-reflective benchmark interest rate instead of SLIBOR
89,2020-02-19,"FCR upgrades ASPI target for December to 7,500 amidst added boost to economy"
90,2020-02-19,SEC commences series of meetings with capital market stakeholders
91,2020-02-17,HNB Finance IPO  oversubscribed on opening day
92,2020-02-11,HNB Finance first IPO since January 2018
93,2020-02-11,Sri Lanka economy on the mend in 2020 : Will look at new IMF deal
94,2020-02-07,Sri Lanka official reserves at USD7.5bn by end January
95,2020-02-06,Ceylon Dollar Bond Fund delivers 10.3-pct dollar return in 2019
96,2020-01-28,First Capital Research assigns 80-pct probability for no change in policy rates
97,2020-01-23,First Capital Treasuries announces Rs750mn debenture issue
98,2020-01-22,Viraj Dayaratne appointed  as Chairman of SEC
99,2020-01-17,"Trade deficit narrows marginally in Nov with imports, exports declining"
100,2020-01-17,Milford Ceylon buys 19-pct of Softlogic Life
101,2020-01-09,Sri Lanka official reserves improve to USD7.6bn by end December
102,2020-01-06,Sri Lanka’s new Banking Act to facilitate banks in Colombo Intl. Financial Centre
103,2020-01-06,CB Chief urges Sri Lanka banks to rethink its credit disbursement policies
104,2020-01-06,Business suspension of Perpetual Treasuries extended
105,2020-01-02,New inclusions & exclusions of MBSL MIDCAP Index 2020 announced
106,2019-12-31,"CSE indices comparison for 2019: ASPI up 1.3-pct, S&P SL20 down 6.3-pct"
107,2019-12-24,First Capital Research trims down its rate cut probability to 50-pct
108,2019-12-19,Sri Lankan authorities dispute revision of outlook to Negative by Fitch Ratings
109,2019-12-19,Sri Lanka records 2.7-pct growth in third quarter of 2019
